iter	Passed	Remaining
1426	2920	3218
1427	2921	3216
1428	2923	3214
1429	2925	3211
1430	2927	3209
1431	2929	3207
1432	2931	3205
1433	2933	3203
1434	2935	3201
1435	2937	3199
1436	2939	3196
1437	2941	3194
1438	2943	3192
1439	2945	3190
1440	2946	3188
1441	2948	3185
1442	2950	3183
1443	2952	3181
1444	2954	3179
1445	2956	3177
1446	2958	3174
1447	2960	3172
1448	2962	3170
1449	2964	3168
1450	2966	3166
1451	2968	3164
1452	2970	3162
1453	2971	3159
1454	2973	3157
1455	2975	3155
1456	2977	3152
1457	2978	3150
1458	2980	3148
1459	2982	3145
1460	2984	3143
1461	2986	3141
1462	2987	3138
1463	2989	3136
1464	2991	3134
1465	2993	3132
1466	2996	3130
1467	2997	3128
1468	2999	3126
1469	3001	3123
1470	3003	3121
1471	3005	3119
1472	3007	3117
1473	3009	3115
1474	3010	3113
1475	3012	3110
1476	3014	3108
1477	3016	3106
1478	3018	3104
1479	3020	3102
1480	3022	3100
1481	3025	3098
1482	3027	3096
1483	3028	3094
1484	3035	3096
1485	3038	3095
1486	3043	3096
1487	3045	3094
1488	3047	3092
1489	3049	3090
1490	3051	3088
1491	3054	3086
1492	3056	3085
1493	3059	3083
1494	3061	3082
1495	3063	3079
1496	3065	3077
1497	3067	3075
1498	3069	3073
1499	3071	3071
1500	3073	3069
1501	3074	3066
1502	3076	3064
1503	3078	3062
1504	3081	3060
1505	3083	3058
1506	3085	3056
1507	3086	3053
1508	3088	3051
1509	3090	3049
1510	3092	3047
1511	3094	3045
1512	3096	3042
1513	3098	3040
1514	3099	3038
1515	3101	3036
1516	3103	3033
1517	3105	3031
1518	3107	3029
1519	3109	3027
1520	3111	3025
1521	3113	3023
1522	3114	3020
1523	3116	3018
1524	3118	3016
1525	3120	3014
1526	3122	3012
1527	3124	3009
1528	3126	3007
1529	3128	3005
1530	3129	3003
1531	3132	3001
1532	3134	2999
1533	3135	2996
1534	3137	2994
1535	3139	2992
1536	3141	2990
1537	3142	2987
1538	3145	2986
1539	3147	2984
1540	3149	2981
1541	3150	2979
1542	3152	2976
1543	3154	2974
1544	3156	2972
1545	3158	2970
1546	3160	2968
1547	3161	2965
1548	3163	2963
1549	3165	2961
1550	3167	2958
1551	3168	2956
1552	3170	2954
1553	3172	2952
1554	3174	2949
1555	3176	2947
1556	3178	2945
1557	3179	2943
1558	3181	2940
1559	3183	2939
1560	3185	2936
1561	3187	2934
1562	3189	2932
1563	3191	2930
1564	3193	2928
1565	3195	2926
1566	3198	2924
1567	3200	2922
1568	3201	2920
1569	3203	2918
1570	3205	2916
1571	3207	2914
